From St,Install Yr,Street,To St,Update Yr,Miles
23RD ST,2010,Corbett Ave,GOLDING LN,0,"0,075757576"
23RD ST,2010,Diamond St,ELIZABETH ST,0,"0,110606061"
23RD ST,2010,Indiana St,25TH ST,2019,"0,354545455"
23RD ST,2010,Kansas St,24TH ST,0,"0,176515152"
23RD ST,2011,Illinois St,24TH ST,0,"0,176893939"
23RD ST,2013,Folsom St,24TH ST,2014,"0,220454545"
24TH AV,1996,Cabrillo St,25TH AV,0,"0,117424242"
24TH AV,1996,Lake St,25TH AV,0,"0,117045455"
24TH AV,2006,Vicente St,25TH AV,2017,"0,117424242"
24TH AV,2010,Kirkham St,25TH AV,0,"0,117424242"
24TH AV,2011,Sloat Blvd,25TH AV,2012,"0,098484848"
24TH AVE,2014,Ortega St,25TH AVE,0,"0,117045455"
24TH AVE,2016,Ocean Ave,23RD AVE,,"0,096590909"
24TH AVE,2021,Anza Street,23RD AVE,,"0,117424242"
24TH ST,0,Harrison St,25TH ST,0,"0,220454545"
24TH ST,0,Minnesota St,25TH ST,0,"0,176893939"
24TH ST,1996,Potrero Ave,25TH ST,0,"0,176893939"
24TH ST,1996,Valencia St,25TH ST,0,"0,221212121"
24TH ST,2010,Chattanooga St,JERSEY ST,0,"0,112121212"
24TH ST,2010,Diamond St,JERSEY ST,0,"0,109469697"
24TH ST,2010,Kansas St,25TH ST,0,"0,176515152"
24TH ST,2011,Illinois St,25TH ST,0,"0,176893939"
24TH ST,2015,Folsom St,25TH ST,,"0,110984848"
25TH AV,1996,Cabrillo St,26TH AV,0,"0,117424242"
25TH AV,1996,El Camino Del Mar,26TH AV,0,"0,117803030"
25TH AV,1996,Lake St,26TH AV,0,"0,117803030"
25TH AV,2006,Vicente St,26TH AV,2017,"0,117803030"
25TH AV,2010,Kirkham St,26TH AV,0,"0,117803030"
25TH AV,2011,Sloat Blvd,26TH AV,2012,"0,095075758"
25TH AVE,2014,Ortega St,26TH AVE,0,"0,117803030"
25TH AVE,2016,Ocean Ave,24TH AVE,,"0,096969697"
25TH AVE,2016,Ocean Ave,25TH AVE,,"0,048295455"
25TH AVE,2021,Anza Street,24TH AVE,,"0,117424242"
25TH ST,,Minnesota St,26TH ST,,"0,176515152"
25TH ST,0,Harrison St,26TH ST,0,"0,220833333"
25TH ST,1996,Valencia St,26TH ST,0,"0,221212121"
25TH ST,2010,Diamond St,CLIPPER ST,0,"0,110606061"
25TH ST,2010,Indiana St,26TH ST,2019,"0,176136364"
25TH ST,2010,Kansas St,26TH ST,0,"0,190909091"
25TH ST,2010,Sanchez St,CLIPPER ST,0,"0,111742424"
25TH ST,2011,Cesar Chavez St,HAMPSHIRE ST,0,"0,438636364"
25TH ST,2011,Illinois St,26TH ST,,"0,177651515"
25TH ST,2011,Potrero Ave,25TH ST,0,"0,049621212"
25TH ST,2011,Potrero Ave,HWY 101 OFF-RAMP,0,"0,367803030"
25TH ST,2015,Folsom St,24TH ST,,"0,110984848"
25TH ST,2015,Folsom St,26TH ST,,"0,110606061"
26TH AV,0,John F Kennedy Dr,27TH AV,0,"0,717045455"
26TH AV,1997,Cabrillo St,27TH AV,0,"0,117424242"
26TH AV,1997,El Camino Del Mar,27TH AV,0,"0,116666667"
26TH AV,1997,Lake St,27TH AV,0,"0,116666667"
26TH AV,2006,Vicente St,27TH AV,2017,"0,117424242"
26TH AV,2010,Kirkham St,27TH AV,0,"0,117424242"
26TH AV,2011,Sloat Blvd,PARAISO PL,2012,"0,037121212"
26TH AVE,2014,Ortega St,27TH AVE,0,"0,117424242"
26TH AVE,2016,Ocean Ave,25TH AVE,,"0,048295455"
26TH AVE,2021,Anza Street,25TH AVE,,"0,117424242"
26TH ST,0, ,ARMY ST,0,"0,157575758"
26TH ST,0,Hampshire St,ARMY ST ON-RAMP,0,"0,114015152"
26TH ST,0,Minnesota St,ARMY ST,0,"0,179924242"
26TH ST,1997,Valencia St,ARMY ST,0,"0,107954545"
26TH ST,1998,Harrison St,KAMILLE CT,,"0,067424242"
26TH ST,2010,Indiana St,ARMY ST,2019,"0,176136364"
26TH ST,2010,Sanchez St,ARMY ST,0,"0,110227273"
26TH ST,2011,Illinois St,CESAR CHAVEZ ST,,"0,177272727"
26TH ST,2012,Bryant St,ARMY ST,0,"0,172727273"
26TH ST,2015,Folsom St,25TH ST,,"0,110606061"
26TH ST,2015,Folsom St,KAMILLE CT,,"0,033712121"
27TH,2005,Guerrero St,DUNCAN ST,2017,"0,1125"
27TH AV,1997,Cabrillo St,28TH AV,0,"0,116666667"
27TH AV,1997,El Camino Del Mar,28TH AV,0,"0,1125"
27TH AV,1997,Lake St,28TH AV,0,"0,093560606"
27TH AV,2006,Vicente St,28TH AV,2017,"0,117424242"
27TH AV,2010,Kirkham St,28TH AV,0,"0,117803030"
27TH AVE,2014,Ortega St,28TH AVE,0,"0,117803030"
27TH AVE,2021,Anza Street,26TH AVE,,"0,117424242"
27TH ST,2010,Sanchez St,COMERFORD ST,0,"0,110984848"
28TH AV,1997,Cabrillo St,29TH AV,0,"0,117424242"
28TH AV,1997,Lake St,28TH AV,0,"0,060606061"
28TH AV,2006,Vicente St,29TH AV,2017,"0,117045455"
28TH AV,2010,Kirkham St,29TH AV,0,"0,117045455"
28TH AV,2011,El Camino Del Mar,EL CAMINO DEL MAR,0,"0,139393939"
28TH AV,2012,Lake St,29TH AV,0,"0,118560606"
28TH AVE,2014,Ortega St,29TH AVE,0,"0,116666667"
28TH AVE,2021,Anza Street,27TH AVE,,"0,117045455"
28TH ST,2010,Sanchez St,VALLEY ST,0,"0,110984848"
29TH AV,0,John F Kennedy Dr,30TH AV,0,"0,735227273"
29TH AV,1997,Cabrillo St,30TH AV,0,"0,117803030"
29TH AV,2006,Vicente St,30TH AV,2017,"0,118181818"
29TH AV,2010,Kirkham St,30TH AV,0,"0,117045455"
29TH AV,2012,Lake St,30TH AV,0,"0,118939394"
29TH AVE,2014,Ortega St,30TH AVE,0,"0,119696970"
29TH AVE,2021,Anza Street,28TH AVE,,"0,117424242"
29TH ST,2005,San Jose Ave,28TH ST,2017,"0,119507576"
29TH ST,2005,San Jose Ave,VALLEY ST,2017,"0,058712121"
29TH ST,2010,Sanchez St,DAY ST,0,"0,110984848"
29TH ST,2012,Dolores St,DAY ST,,"0,116098485"
30TH AV,,El Camino Del Mar,MC LAREN AV,,"0,018939394"
30TH AV,0,El Camino Del Mar,LAKE ST,0,"0,178409091"
30TH AV,0,John F Kennedy Dr,31ST AV,0,"0,157196970"
30TH AV,0,John F Kennedy Dr,SPRECKELS LAKE ACCESS RD,0,"0,456060606"
30TH AV,1997,Cabrillo St,31ST AV,0,"0,117424242"
30TH AV,2006,Vicente St,31ST AV,2017,"0,117424242"
30TH AV,2010,Clement St,31ST AV,0,"0,117045455"
30TH AV,2010,Kirkham St,31ST AV,0,"0,117803030"
30TH AVE,2014,Ortega St,31ST AVE,0,"0,115151515"
30TH AVE,2021,Anza Street,29TH AVE,,"0,117803030"
30TH ST,2005,San Jose Ave,29TH ST,2017,"0,120265152"
30TH ST,2005,San Jose Ave,DAY ST,2017,"0,058712121"
30TH ST,2010,Chenery St,RANDALL ST,0,"0,324621212"
31ST AV,0,John F Kennedy Dr,32ND AV,0,"0,210984848"
31ST AV,1997,Cabrillo St,32ND AV,0,"0,117424242"
31ST AV,2006,Vicente St,32ND AV,2017,"0,117424242"
31ST AV,2010,Clement St,32ND AV,0,"0,118181818"
31ST AV,2010,Kirkham St,32ND AV,0,"0,117424242"
31ST AVE,2014,Ortega St,32ND AVE,0,"0,118181818"
32ND AV,0,El Camino Del Mar,LEGION OF HONOR DR,0,"0,876515152"
32ND AV,1997,Cabrillo St,33RD AV,0,"0,118181818"
32ND AV,2006,Vicente St,33RD AV,2017,"0,117803030"
32ND AV,2010,Clement St,33RD AV,0,"0,117424242"
32ND AV,2010,Kirkham St,33RD AV,0,"0,117803030"
32ND AVE,2014,Ortega St,33RD AVE,0,"0,117803030"
33RD AV,0,John F Kennedy Dr,34TH AV,0,"0,290530303"
33RD AV,1997,Cabrillo St,34TH AV,0,"0,116666667"
33RD AV,2006,Vicente St,34TH AV,2017,"0,119696970"
33RD AV,2010,Clement St,34TH AV,0,"0,117803030"
33RD AV,2010,Kirkham St,34TH AV,0,"0,117424242"
33RD AVE,2014,Ortega St,34TH AVE,0,"0,117803030"
34TH AV,0,John F Kennedy Dr,35TH AV,0,"0,322348485"
34TH AV,1997,Cabrillo St,35TH AV,0,"0,117424242"
34TH AV,2004,Clement St,35TH AV,0,"0,117424242"
34TH AV,2006,Vicente St,35TH AV,2017,"0,115530303"
34TH AV,2010,Irving St,35TH AV,0,"0,117424242"
34TH AV,2010,Kirkham St,35TH AV,0,"0,117803030"
